policy_id,regime,seed,days,total_demand,completed_loads,unmet_demand,demand_fulfillment_rate,effective_output,total_tco,total_tco_report_value,pm_cost,cm_cost,downtime_cost,degradation_cost,unmet_demand_cost,pm_count,pm_component_count,pm_tire,pm_engine,pm_brake,cm_count,cm_tire,cm_engine,cm_brake,failure_count,total_downtime_hours,avg_truck_hi,avg_tire_hi,avg_engine_hi,avg_brake_hi,avg_frailty,max_frailty,availability_rate,route_r_a1_loads,route_r_a2_loads,route_r_b1_loads,route_r_b2_loads,route_r_c1_loads,route_r_c2_loads,shovel_a_loads,shovel_b_loads,shovel_c_loads,crusher_1_loads,crusher_2_loads,pm_bay_utilization,max_simultaneous_pm,standby_reserve_activations,avg_selected_route_value,avg_selected_risk_penalty,avg_selected_capacity_score,avg_selected_queue_penalty
H1,heterogeneous_condition,105,90,18900,18900,0,1.0,4826465.0,4248.57614,4248576.14,1639.0,0.0,2468.4,141.17614,0.0,579,580,231,203,146,0,0,0,0,0,2057,0.47362,0.525395,0.564622,0.551265,1.020715,2.576161,0.772611,19,0,3560,2001,5940,7380,19,5561,13320,9519,9381,0.342361,2,0,0.67692,1.558669,41.340635,0.420174
H1,heterogeneous_condition,106,90,18900,18900,0,1.0,4826185.0,4121.62835,4121628.35,1588.5,0.0,2395.2,137.92835,0.0,552,557,214,202,141,0,0,0,0,0,1996,0.476464,0.494479,0.545721,0.534416,0.982959,2.36643,0.773222,11,0,3537,2032,5940,7380,11,5569,13320,9488,9412,0.334722,2,0,0.6768,1.568983,41.424921,0.41885
H1,heterogeneous_condition,107,90,18900,18900,0,1.0,4826395.0,3809.257481,3809257.481,1478.0,0.0,2199.6,131.657481,0.0,545,546,254,160,132,0,0,0,0,0,1833,0.459783,0.491685,0.561245,0.602771,0.96149,2.78374,0.776111,17,0,3785,1778,5940,7380,17,5563,13320,9742,9158,0.298611,2,0,0.67787,1.532087,40.985132,0.426172
H1,heterogeneous_condition,108,90,18900,18900,0,1.0,4826325.0,4717.910119,4717910.119,1797.5,0.0,2764.8,155.610119,0.0,652,652,247,194,211,0,0,0,0,0,2304,0.474011,0.523289,0.532577,0.586148,1.128587,3.150683,0.76937,15,0,3253,2312,5940,7380,15,5565,13320,9208,9692,0.38287,2,0,0.675605,1.570246,41.807725,0.412305
H1,heterogeneous_condition,109,90,18900,18900,0,1.0,4826535.0,3470.121738,3470121.738,1331.0,0.0,2016.0,123.121738,0.0,500,500,222,128,150,0,0,0,0,0,1680,0.483417,0.515561,0.543466,0.542295,0.909119,2.084195,0.77813,21,0,3541,2018,5940,7380,21,5559,13320,9502,9398,0.27338,2,0,0.676844,1.530974,41.335079,0.420218
H1,heterogeneous_condition,110,90,18900,18900,0,1.0,4826185.0,5163.348668,5163348.668,1995.5,0.0,2998.8,169.048668,0.0,711,712,292,241,179,0,0,0,0,0,2499,0.460375,0.500239,0.525478,0.547919,1.167516,3.047173,0.766852,11,0,3555,2014,5940,7380,11,5569,13320,9506,9394,0.414352,2,0,0.676877,1.593742,41.321217,0.420489
H2,heterogeneous_condition,101,90,18900,18900,0,1.0,4828880.0,3678.813268,3678813.268,1423.5,0.0,2126.4,128.913268,0.0,526,527,244,152,131,0,0,0,0,0,1772,0.462418,0.494984,0.552018,0.536605,0.937723,2.4518,0.776926,44,0,5580,0,5940,7336,44,5580,13276,11564,7336,0.288426,2,0,0.685517,1.562978,36.074815,0.506136
H2,heterogeneous_condition,102,90,18900,18900,0,1.0,4829160.0,3697.975296,3697975.296,1440.0,0.0,2130.0,127.975296,0.0,513,515,232,179,104,0,0,0,0,0,1775,0.454596,0.464858,0.551471,0.538971,0.873249,2.345799,0.77663,48,0,5580,0,5940,7332,48,5580,13272,11568,7332,0.29213,2,0,0.685524,1.56733,36.068466,0.506257
H2,heterogeneous_condition,103,90,18900,18900,0,1.0,4828530.0,4170.763675,4170763.675,1608.0,0.0,2421.6,141.163675,0.0,572,574,236,194,144,0,0,0,0,0,2018,0.454804,0.497653,0.514586,0.528263,0.992559,2.718937,0.773222,39,0,5580,0,5940,7341,39,5580,13281,11559,7341,0.334722,2,0,0.685509,1.614995,36.07254,0.506144
H2,heterogeneous_condition,104,90,18900,18900,0,1.0,4829090.0,3819.27035,3819270.35,1457.5,0.0,2230.8,130.97035,0.0,523,525,202,164,159,0,0,0,0,0,1859,0.456279,0.51393,0.532512,0.503686,0.94391,2.700947,0.775259,47,0,5580,0,5940,7333,47,5580,13273,11567,7333,0.309259,2,0,0.685522,1.594795,36.065556,0.506297
